DATETIME,STAGE,ITEM,LEFT_LEN,RIGHT_LEN,LEFT_RESULT,RIGHT_RESULT
STRING,STRING,STRING,DOUBLE,DOUBLE,BOOL,BOOL
2015.10.13 14:40:55 726,1,TOP,,1.002,,True
2015.10.13 14:41:02 872,1,BOTTOM,,0.995,,True
2015.10.13 14:41:27 332,2,TOP,0.749,0.757,True,True
2015.10.13 14:41:33 932,2,BOTTOM,0.756,0.74,True,True
2015.10.13 14:48:21 522,1,TOP,,1.007,,True
2015.10.13 14:48:28 655,1,BOTTOM,,1.008,,True
2015.10.13 14:48:52 264,2,TOP,0.75,0.753,True,True
2015.10.13 14:48:58 853,2,BOTTOM,0.749,0.741,True,True
2015.10.13 14:49:39 322,1,TOP,,0.999,,True
2015.10.13 14:49:46 481,1,BOTTOM,,1.009,,True
2015.10.13 14:50:11 235,2,TOP,0.753,0.759,True,True
2015.10.13 14:50:17 838,2,BOTTOM,0.76,0.744,True,True
2015.10.13 14:56:59 593,1,TOP,,1.005,,True
2015.10.13 14:57:06 763,1,BOTTOM,,0.998,,True
2015.10.13 14:57:41 262,2,TOP,0.748,0.759,True,True
2015.10.13 14:57:47 887,2,BOTTOM,0.755,0.742,True,True
2015.10.13 15:12:48 729,1,TOP,,1.003,,True
2015.10.13 15:12:55 896,1,BOTTOM,,1,,True
2015.10.13 15:13:21 324,2,TOP,0.749,0.763,True,True
2015.10.13 15:13:27 931,2,BOTTOM,0.761,0.746,True,True
2015.10.13 15:13:46 826,1,TOP,,1.003,,True
2015.10.13 15:13:53 922,1,BOTTOM,,1.003,,True
2015.10.13 15:14:18 358,2,TOP,0.747,0.76,True,True
2015.10.13 15:14:25 011,2,BOTTOM,0.754,0.746,True,True
2015.10.13 15:14:54 447,1,TOP,,1.01,,True
2015.10.13 15:15:01 650,1,BOTTOM,,1.01,,True
2015.10.13 15:15:26 342,2,TOP,0.749,0.76,True,True
2015.10.13 15:15:32 957,2,BOTTOM,0.753,0.745,True,True
2015.10.13 15:15:52 467,1,TOP,,1.001,,True
2015.10.13 15:15:59 627,1,BOTTOM,,0.993,,True
